,지역,소득구분,단독주택,아파트,연립주택,다세대주택,비거주용 건물내주택,주택이외의 거처,계
0,전국,전체,31.0,51.1,2.1,9.4,1.6,4.8,100.0
1,전국,저소득층,47.3,31.6,2.3,9.7,1.5,7.6,100.0
2,전국,중소득층,24.4,57.8,2.4,10.1,1.9,3.4,100.0
3,전국,고소득층,11.9,77.5,1.5,6.4,1.1,1.7,100.0
4,수도권,전체,23.1,51.7,2.4,15.1,1.5,6.2,100.0
5,수도권,저소득층,35.8,32.1,2.8,16.8,1.3,11.2,100.0
6,수도권,중소득층,21.2,52.8,2.9,16.7,1.8,4.6,100.0
7,수도권,고소득층,7.4,78.8,1.4,9.2,1.5,1.8,100.0
8,광역시 등,전체,29.0,58.7,1.5,5.9,1.5,3.4,100.0
9,광역시 등,저소득층,44.0,38.9,1.7,7.6,1.9,5.9,100.0
10,광역시 등,중소득층,21.5,68.4,1.5,5.1,1.4,2.0,100.0
11,광역시 등,고소득층,11.7,82.1,0.9,3.7,0.7,1.0,100.0
12,도지역,전체,44.8,45.3,2.2,2.6,1.8,3.3,100.0
13,도지역,저소득층,62.5,26.8,2.1,2.7,1.6,4.4,100.0
14,도지역,중소득층,31.8,58.1,2.2,2.9,2.4,2.6,100.0
15,도지역,고소득층,22.1,71.3,2.2,2.0,0.6,1.9,100.0
